;seed;age;gender;condition;correct_Ai_Predictions_percent;explSatisfaction_mean;Trust_mean;featurePneumonia;featureHealthy;comment;ignored_sliders;ownPred=AiPred;correct_own_Predictions_percent;correct_Predictions_ForWrongAi_percent;correct_Predictions_ForCorrectAi_percent;meanConfidence;correctMeanConfidence;falseMeanConfidence;TimePrediction_mean;totalTime;experienceHealth_none;experienceHealth_interested;experienceHealth_work;experienceHealth_doctor;experienceHealth_pulmonologist;experienceHealth_research;experienceHealth_xRays;experienceHealth_other;experienceAI_none;experienceAI_media;experienceAI__privateLife;experienceAI_work;experienceAI_relatedCourse;experienceAI_research;experienceAI_other;outcomeAI[1];CompetenceRating[1];Anger_mean;Happy_mean;Relaxation_mean;PracticalApplRating[1];PracticalApplAreas_additionToMedicalPersonel;PracticalApplAreas_diagnosis;PracticalApplAreas_supportForMedicalExplanation;PracticalApplAreas_routineExaminations;PracticalApplAreas_screeningAtHome;PracticalApplAreas_other
99;1961859265;18.0;2.0;2;1.0;3.6666666666666665;4.0;Viability of the ribs, whether image it cloudy;Viability of ribs;;10;1.0;1.0;NaN;1.0;4.5;4.5;NaN;55.144999999999996;553.63;;Y;;;;;;;Y;;;;;;;2.0;8.0;1.0;1.0;1.0;1.0;Y;Y;Y;Y;Y;
101;1532192088;21.0;1.0;0;0.6666666666666666;3.3333333333333335;3.0;The AI pays attention not to just the lungs but the surrounding areas as well. The Abdomen seems to be an area of focus. ;I think that the AI looks at the fogginess of the lungs and how clear they are. ;No.;0;0.9166666666666666;0.5833333333333334;0.6666666666666666;0.6666666666666666;4.583333333333333;4.875;4.0;115.47416666666668;1923.35;;Y;;;;;;;;Y;;;;;;4.0;2.0;2.6666666666666665;4.0;3.25;5.0;;Y;Y;Y;Y;
103;884040849;30.0;2.0;2;0.4166666666666667;2.8333333333333335;1.5;i think it looks at the cloudiness of the image rather the overall image;I think it looks at clarity and confuses veins, heart, grainy details for pneumonia;no;0;0.8333333333333334;0.75;0.16666666666666666;0.6666666666666666;6.0;6.4;5.714285714285714;30.673333333333336;892.03;Y;;;;;;;;;Y;Y;;;;;3.0;5.0;1.0;1.25;4.0;2.0;Y;;;;;
104;1378220617;43.0;2.0;2;0.8333333333333334;3.6666666666666665;4.0;The amount of cloudy white area within the lungs;Black areas indicating air is present in the lungs;;0;1.0;0.6666666666666666;0.6666666666666666;1.0;5.666666666666667;6.2;3.0;56.0825;1207.16;;Y;;;;;;;;Y;Y;Y;;;;4.0;9.0;1.0;5.75;5.0;5.0;Y;Y;Y;Y;Y;
108;408307377;28.0;1.0;2;0.7272727272727273;5.0;3.0;"I think it particularly pays attention to the shading of the lungs as in ""grey, of white.""";I think the AI looks to see what shade of black or grey they are.;No. Thank you.;1;0.7272727272727273;0.7272727272727273;0.8;0.6666666666666666;6.636363636363637;7.0;5.666666666666667;75.59363636363638;1649.54;Y;Y;;;;;;;;Y;Y;;;;;5.0;10.0;1.0;4.0;6.75;1.0;Y;;Y;;Y;
112;975441080;27.0;1.0;0;0.75;3.1666666666666665;3.5;Highlighted areas seem to focus on parts of the imagery where there is sever amounts of white clouding;AI seems to highlight areas in which the clouding detail has not appeared in the imagery.;;0;1.0;0.5833333333333334;0.6666666666666666;0.8333333333333334;3.0;2.888888888888889;3.3333333333333335;77.89750000000002;1534.71;Y;;;;;;;;;Y;;;;;;4.0;1.0;1.0;4.0;3.0;4.0;Y;;Y;;;
115;498030391;53.0;2.0;0;0.4166666666666667;5.0;1.0;I think that the AI is looking at the clarity of the 'green' colour and maybe the 'pattern' of the pneumonia. ;"I believe that when it predicts healthy lungs  there will be 'no' green colour showing up at all.
Although in the x-rays at the beginning of the study i was seeing 'cloudy' backgrounds in the chest
when pneumonia was present but when there was no pneumonia present the area was much 'darker'
";I really did genuinely think that i could have got all the answers correct after i had read the instructions for the x-rays. It seems that i was so wrong and i really did try my best. Thank you! ;0;1.0;0.5833333333333334;0.3333333333333333;0.5;5.916666666666667;6.2;5.714285714285714;95.33333333333333;2328.79;;Y;;;;;;;;;;;;;I periodically work on 'Appen' and 'Neevo'  so i have experience.;5.0;1.0;4.333333333333333;1.0;1.25;1.0;Y;Y;Y;Y;Y;
118;915492014;36.0;1.0;1;0.5454545454545454;1.8333333333333333;1.0;How much white consolidation there is in the lung compared to the rest of the X-ray;It may look for a low amount of whiteness (consolidation) in the lung fields.;I found myself disagreeing with the AI multiple times, and I tend to believe my own assessment rather than the AI.  Having said that, I would be comfortable to use AI in the future if it were shown to be accurate when compared to an assessment by an expert (e.g. a radiologist).;1;0.8181818181818182;0.8181818181818182;0.4;0.6666666666666666;4.2727272727272725;4.166666666666667;4.4;51.91727272727273;1138.69;;;Y;Y;;;Y;;;Y;;;;;;3.0;9.0;2.6666666666666665;3.0;1.75;3.0;Y;Y;;Y;;
119;792132383;48.0;1.0;0;0.5;1.0;3.0;Clarity.;Areas outside body.;;0;0.75;0.75;0.16666666666666666;0.8333333333333334;1.9166666666666667;2.0;1.8333333333333333;139.4925;2428.89;Y;;;;;;;;;Y;;;;;;6.0;1.0;2.6666666666666665;1.0;1.0;3.0;;;Y;;;
121;131250775;30.0;2.0;2;0.6363636363636364;3.8333333333333335;3.0;"If the two lungs look different from one another; light streaks in the lungs; and cloudiness in the lungs.";"It looks for clearness, i.e. the darker areas of the image are not flecked with lighter parts or cloudy; and symmetry between the two lungs.";;1;1.0;0.45454545454545453;0.6666666666666666;0.6;3.090909090909091;3.142857142857143;3.0;60.68272727272727;1371.79;;Y;;;;;;;;Y;;;;;;4.0;6.0;1.0;1.5;2.5;3.0;Y;Y;Y;Y;;
122;218966878;55.0;2.0;2;0.8333333333333334;3.6666666666666665;3.0;The transparency of the lungs;The clearness;;0;0.8333333333333334;0.5;0.6666666666666666;1.0;4.0;4.4;2.0;63.70666666666667;1277.81;Y;;;;;;;;;Y;;;;;;3.0;7.0;1.0;4.5;4.75;4.0;Y;Y;Y;;Y;
129;2080545721;40.0;2.0;1;0.4166666666666667;3.1666666666666665;3.0;Heat map locations for example being low down or higher up.;Location of heat map being lower down.;None.;0;0.8333333333333334;0.75;0.3333333333333333;0.5;3.0;3.0;3.0;93.93666666666667;1784.45;;Y;;;;;;;;;Y;Y;;;;4.0;5.0;1.0;4.25;5.5;3.0;Y;Y;Y;Y;;
130;1626701554;28.0;2.0;0;0.5;1.6666666666666667;2.0;Shaded areas;Black areas;;0;0.75;0.75;0.5;0.5;2.8333333333333335;2.8333333333333335;2.8333333333333335;75.00083333333333;1878.33;Y;;;;;;;;;Y;;;;;;4.0;2.0;1.0;1.0;1.0;3.0;Y;;;;;
132;1325734984;26.0;2.0;2;1.0;3.6666666666666665;3.5;The AI focuses on whether the area around the lungs is foggier than the modified image.;The AI selects the xray that has a clearer and less cloudy area around the lungs.;;0;1.0;0.5;1.0;1.0;6.583333333333333;6.583333333333333;NaN;68.14666666666666;1652.96;Y;;;;;;;;;Y;Y;Y;;;;5.0;8.0;1.0;4.0;4.0;3.0;;;;Y;Y;
133;290349112;31.0;1.0;0;0.6666666666666666;4.0;4.0;The colour of the lung and any damage.;I think it looks for a dark colour that means the lungs are healthy.;no;0;1.0;0.6666666666666666;0.5;0.8333333333333334;4.833333333333333;5.0;4.5;55.33500000000001;1219.86;Y;;;;;;;;;Y;;;;;;4.0;7.0;1.0;4.25;3.25;5.0;Y;;Y;Y;Y;
137;1499781181;28.0;2.0;0;0.5833333333333334;2.3333333333333335;1.5;Darker and lighter areas of the lungs compared to other parts of body.;Other areas than the lungs to see what's occurring there.;I found it quite hard but I think it would be useful for healthcare professionals, just as a way to be 100% sure on diagnosis. Not for online screening at home though. I found it confusing and I have some experience in hospitals. I think it would cause more confusion that good!;0;0.6666666666666666;0.5833333333333334;0.5;0.6666666666666666;3.5833333333333335;2.857142857142857;4.6;332.2058333333334;5035.34;;;;;;;;I used to work in health care;;Y;;;;;;2.0;3.0;2.6666666666666665;2.5;1.25;3.0;Y;Y;Y;;;
139;1424531753;29.0;2.0;0;0.75;2.1666666666666665;2.0;The border of the organs, and sometimes it gets confused by the medical equipment.;The border of the organs and the cleanness of the lungs area.;;0;1.0;0.5833333333333334;0.6666666666666666;0.8333333333333334;5.666666666666667;5.666666666666667;5.666666666666667;29.87750000000001;1026.86;;Y;;;;;;;;Y;Y;;;Y;;5.0;10.0;1.0;5.25;3.5;5.0;Y;Y;Y;Y;Y;
141;1832867964;30.0;1.0;2;0.5;3.5;3.0;White shadow abnormalities and the level of definition from the lungs.;Clear and well defined edges of the lungs;;6;0.8333333333333334;0.5;0.3333333333333333;0.6666666666666666;5.333333333333333;5.666666666666667;5.0;101.81333333333333;1542.57;;Y;;;;;;;;Y;;;;;;4.0;5.0;1.3333333333333333;4.25;4.5;2.0;;Y;;;Y;
142;1483764437;56.0;1.0;0;0.4166666666666667;3.1666666666666665;3.0;the site and intensity if the green shading;low intensity shading in the central part of the lung;Interesting exercise ;0;1.0;0.75;0.16666666666666666;0.6666666666666666;4.25;4.8;3.857142857142857;87.36916666666667;1597.18;;Y;;;;;;;;Y;;;;;;4.0;4.0;1.0;4.25;2.5;4.0;Y;Y;Y;Y;;
143;1643284890;36.0;2.0;2;0.9166666666666666;4.333333333333333;4.0;When predicting pneumonia I think the AI pays attention to the colour of the lungs, and the contrast between surrounding bones and organs. If the lungs are whiter and blend in with the surrounding organs and bones, the AI will predict pneumonia. ;The AI looks for a darker coloured pair of lungs with sharper contrast colour against the surrounding bones and organs. ;;0;0.75;0.5;0.8333333333333334;1.0;5.666666666666667;5.909090909090909;3.0;216.89666666666665;3816.02;Y;Y;;;;;;;;Y;Y;;;;;2.0;8.0;1.0;5.25;5.25;4.0;Y;Y;Y;;;
144;1789923331;34.0;2.0;0;0.16666666666666666;4.0;3.5;AI looks for the lighter areas but can sometimes mean it sees bones  including the spine instead;Looking for large section of dark, which can mean that it looks outside of the lungs too.;;0;0.8333333333333334;0.8333333333333334;0.0;0.3333333333333333;3.8333333333333335;3.0;4.0;72.19166666666666;1293.89;Y;;;;;;;;;Y;;;;;;4.0;7.0;1.6666666666666667;4.25;4.5;5.0;Y;Y;Y;Y;;
145;1714816470;33.0;1.0;2;0.7272727272727273;3.6666666666666665;2.0;white area on the diagram;clean area on the lung;;1;0.9090909090909091;0.7272727272727273;0.6;0.8333333333333334;4.454545454545454;4.625;4.0;24.66181818181818;719.7;;Y;;;;;;;;Y;;;Y;;;4.0;8.0;4.0;3.25;3.5;4.0;Y;;Y;;;
146;643770777;44.0;1.0;0;0.4166666666666667;3.1666666666666665;2.0;It pays attention to how certain are clear or clouded certain areas of the lungs are.;It pays attention to how clear the lungs are.;no;0;0.5833333333333334;0.5;0.3333333333333333;0.5;4.416666666666667;4.4;4.428571428571429;61.32583333333334;1395.0;;Y;;;;;;;Y;;;;;;;4.0;3.0;1.0;1.25;1.5;3.0;Y;Y;Y;;;
148;733682058;66.0;1.0;2;0.75;2.6666666666666665;3.0;The presence of white, fiber-like material in the lungs.;The absence of white, fiber-like material in the lungs.;general is misspelled;0;1.0;0.5833333333333334;0.6666666666666666;0.8333333333333334;5.75;5.777777777777778;5.666666666666667;85.85833333333333;1835.64;;Y;;;;;;;;Y;;;;;;3.0;6.0;1.0;1.5;4.0;3.0;;;;Y;;
149;1764198459;33.0;2.0;1;0.5;4.333333333333333;2.5;most of time;sometime;Thanks;0;0.6666666666666666;0.6666666666666666;0.5;0.5;5.75;5.666666666666667;5.833333333333333;51.30666666666667;1123.96;;Y;;;;;;;;Y;Y;Y;;;;4.0;8.0;2.0;5.0;3.25;4.0;;Y;;;;
151;1149967500;26.0;2.0;0;0.4166666666666667;2.6666666666666665;2.0;I'm not sure.;If it looks clear.;;0;1.0;0.5833333333333334;0.3333333333333333;0.5;4.75;4.8;4.714285714285714;34.85416666666667;1208.52;;;;;;;;i went to school for healthcare;Y;;;;;;;4.0;4.0;3.0;3.0;2.0;3.0;Y;Y;;Y;;
153;21502309;22.0;1.0;2;1.0;4.333333333333333;3.5;The brightness of the lower lungs. I guess it measures its contrast with the lest of the image;The darker areas at the top of the lungs maybe...;Really fun survey;0;0.6666666666666666;0.6666666666666666;1.0;1.0;6.0;6.0;NaN;138.83083333333335;2490.48;;Y;;;;;;;;;;;Y;;;4.0;7.0;1.0;6.5;6.25;5.0;Y;Y;Y;Y;Y;
158;679668178;37.0;1.0;1;0.42857142857142855;3.6666666666666665;2.5;It looks like random.;It looks like random to me.;;5;0.8571428571428571;0.5714285714285714;0.5;0.3333333333333333;4.0;4.0;4.0;52.284285714285716;1382.67;Y;;;;;;;;;Y;Y;;;;;4.0;3.0;1.0;3.0;4.5;3.0;Y;;;;;
160;1459947465;35.0;1.0;1;0.8571428571428571;2.8333333333333335;3.0;Yes;Yes;No;5;0.7142857142857143;0.8571428571428571;0.75;1.0;5.142857142857143;5.333333333333333;4.0;40.83142857142858;837.97;;Y;;;;;;;;Y;;;;;;4.0;4.0;1.6666666666666667;5.25;3.75;3.0;;Y;;Y;;
162;690572767;24.0;2.0;1;0.5;2.1666666666666665;4.0;areas of white within the lungs/heart/spine and patterns in that area;areas of black;;0;0.9166666666666666;0.75;0.16666666666666666;0.8333333333333334;4.25;4.5;4.0;52.10250000000001;941.13;Y;;;;;;;;;Y;;;;;;4.0;3.0;1.0;4.0;3.75;4.0;;Y;;Y;;
165;1279586330;32.0;1.0;1;0.75;3.8333333333333335;4.0;It seems to look at the green areas are assess whether these are whitish in order to predict pneumonia.;It seems to look at the green areas are assess whether these are dark in order to predict  no pneumonia.;No;0;1.0;0.5833333333333334;0.6666666666666666;0.8333333333333334;4.25;4.222222222222222;4.333333333333333;47.335;930.17;Y;;;;;;;;Y;;;;;;;3.0;8.0;1.0;2.25;3.25;4.0;Y;Y;;;;
170;876625462;42.0;2.0;1;0.2857142857142857;2.6666666666666665;3.0;Percentage of shaded area;percentage of clear area;;5;0.8571428571428571;0.8571428571428571;0.0;1.0;5.142857142857143;7.0;4.4;36.77428571428571;624.73;Y;;;;;;;;Y;;;;;;;4.0;3.0;1.3333333333333333;3.5;3.75;3.0;Y;Y;Y;Y;Y;
171;1015361318;42.0;1.0;1;0.4166666666666667;1.3333333333333333;4.5;I think that the AI is trying to see how obstructed the lower ribs are in the x-ray.;I think that the AI is looking for dark areas on the lungs.;I really didn't understand how the AI made it's predictions. I hope my input will still be useful.;0;0.9166666666666666;0.6666666666666666;0.3333333333333333;0.5;4.25;3.6;4.714285714285714;77.70666666666668;1795.94;Y;Y;;;;;;;;Y;;;;;;4.0;1.0;1.3333333333333333;1.25;1.75;5.0;Y;Y;Y;Y;;
173;1455762172;57.0;1.0;1;0.5;2.8333333333333335;4.0;It looks for the amount of cloudiness on the x-ray.;It looks for a minimal amount of cloudiness.;This made me feel a bit squeamish, to be honest. But it was different!;0;0.75;0.75;0.3333333333333333;0.6666666666666666;5.666666666666667;5.166666666666667;6.166666666666667;69.1675;1380.24;;Y;;;;;;;;Y;;;;;;4.0;6.0;1.0;2.0;1.25;4.0;Y;Y;Y;Y;;
174;845287393;60.0;2.0;1;0.3333333333333333;1.6666666666666667;1.5;Clearly nothing I'm looking at! I think, with hindsight, it pays attention to specific areas in the lungs and behind in the rib area, rather than where I was looking - at the stomach area. Also the right lung seemed to be critical at times for garnering information.;"Clarity of the lung area and the spine, also something else that might only be detected with sensory technology. Perhaps breathing capacity, lungs diminishing; developing obstruction, etc.";A very enlightening survey. Thank you! Off to look up  and research this subject.;3;1.0;0.7777777777777778;0.0;0.6;4.888888888888889;5.0;4.833333333333333;194.44333333333336;3637.24;;Y;;;;;;;;Y;Y;Y;;Y;;4.0;1.0;3.3333333333333335;2.0;2.0;2.0;Y;;Y;Y;;
175;1697998407;36.0;1.0;0;0.5833333333333334;3.5;3.0;It was right on some of the scans;Yes it was somewhat doing it but not perfect;It should explain more about the survey before starts;0;1.0;0.5833333333333334;0.5;0.6666666666666666;3.9166666666666665;3.857142857142857;4.0;55.70666666666668;1149.56;Y;Y;;;;;;;Y;Y;;;;;;3.0;7.0;1.0;5.0;4.0;3.0;Y;Y;Y;Y;Y;
180;626378936;47.0;2.0;0;0.7272727272727273;4.0;4.0;How cloudy the lungs look.;How clear the lungs look.;;1;1.0;0.7272727272727273;0.5;1.0;5.818181818181818;5.75;6.0;97.70454545454545;1486.3;;Y;;;;;;;;Y;Y;;;;;4.0;7.0;1.0;1.25;1.25;4.0;Y;;Y;;;
181;491065446;46.0;1.0;0;0.5;3.0;4.0;I think the AI is looking at how 'cloudy' the lungs appear;How clear they appear in the image;It was an interesitn survey;0;1.0;0.5;0.5;0.5;4.416666666666667;4.333333333333333;4.5;42.61916666666667;942.92;Y;;;;;;;;;Y;;;;;;4.0;6.0;4.333333333333333;1.75;1.25;4.0;Y;Y;Y;Y;;
183;1122802601;34.0;1.0;0;0.5;2.5;2.0;cloudy white areas.;dark black areas.;;0;1.0;0.6666666666666666;0.3333333333333333;0.6666666666666666;2.75;1.8333333333333333;3.6666666666666665;63.25;1051.37;;Y;;;;;;;;Y;;;;;;5.0;4.0;3.0;2.25;3.0;2.0;Y;;;Y;;
186;1972197817;18.0;2.0;0;0.5;3.0;2.0;The center area of the body;The outskirts of the lungs;No ;0;0.5833333333333334;0.5833333333333334;0.6666666666666666;0.3333333333333333;4.416666666666667;4.833333333333333;4.0;126.45083333333334;2391.08;Y;;;;;;;;;Y;;;;;;4.0;7.0;2.3333333333333335;4.75;1.75;4.0;Y;;Y;;;
187;552694706;25.0;2.0;0;0.6666666666666666;2.5;1.5;From the heatmap I noticed the AI paying attention to the surrounding areas of the lungs, the spine, heart, abdomen, and the armpits often when it predicted pneumonia.;The highlighted areas or color of the x-ray of the lungs. I noticed if the lungs are even in their amount of oxygen the AI will see healthy lungs.;;0;0.8333333333333334;0.6666666666666666;0.5;0.8333333333333334;4.0;3.875;4.25;140.8191666666667;2578.55;;Y;;;;;;;;Y;;;;Y;;4.0;7.0;1.6666666666666667;4.5;4.5;4.0;Y;Y;Y;Y;Y;
193;770226065;60.0;1.0;2;0.6;3.1666666666666665;2.5;The lung and if they look clear;How clear the lungs appear;;7;1.0;0.8;0.0;0.75;4.8;5.333333333333333;4.0;43.303999999999995;801.06;Y;;;;;;;;Y;Y;Y;;;;;3.0;2.0;1.0;2.75;3.5;3.0;Y;;;Y;Y;
194;1182512124;35.0;1.0;2;1.0;4.166666666666667;4.0;Cloudiness, especially in areas on the lower insider of the lung.  Because it's a three-dimensional model I think it also expects a lighter image on parts that come through the image where it would be the front of the lungs.;Overall darkness plays a big part, I'm also wondering if it detects (more or less) the amount of area that is clearly visible even on a lung with pneumonia.;I was a little confused on how much I should rely on using the slider to determine the AI's decision.  I'm also personally curious what were the correct answers on the ones the AI and I disagreed on!;0;0.8333333333333334;0.5;1.0;1.0;4.833333333333333;4.833333333333333;NaN;110.54916666666666;2032.75;Y;;;;;;;;;Y;Y;;;;;3.0;9.0;1.0;4.5;1.5;4.0;Y;Y;Y;Y;;
195;200731708;36.0;2.0;2;0.6666666666666666;1.3333333333333333;4.0;The couldyness in the picture;I have no idea what it looks for if im honest ;none;0;1.0;0.6666666666666666;0.5;0.8333333333333334;6.916666666666667;6.875;7.0;33.405;777.95;Y;;;;;;;;;Y;;;;;;5.0;1.0;1.0;1.75;1.75;5.0;Y;;;;;
196;1628924071;34.0;1.0;2;0.6666666666666666;3.5;2.5;Cloudiness and fogginess particularly;Dark areas and contrast particularly the lungs;It's a fantastic idea to use AI to help speed up medical practise making it more affordable and accessible. But I think people need to always have the option to escalate concerns to a professional physician and random quality checks should be continuously carried out. The idea of AI online providing a free healthcare service for people from home is good. But it must be used to increase quality of care, not increase profits!;0;0.75;0.4166666666666667;0.5;0.8333333333333334;4.916666666666667;5.625;3.5;84.75166666666668;1817.88;;Y;;;;;;;;Y;;;;;;4.0;7.0;1.0;2.25;4.75;5.0;Y;;;;Y;
197;344759138;41.0;1.0;2;1.0;3.5;3.0;I think the AI is paying attention to how dark or light the image is. If the image is lighter and more solid, I think the AI will say that this person has pneumonia.;When predicting if the lungs are healthy, I think the AI is paying attention to how dark the image is. The more dark areas in the image, the more clear the lungs. ;;0;0.9166666666666666;0.5833333333333334;1.0;1.0;5.416666666666667;5.416666666666667;NaN;134.88583333333335;2741.53;Y;;;;;;;;;Y;Y;;;;;3.0;6.0;1.0;2.0;2.75;4.0;Y;Y;Y;;;
200;203119463;49.0;2.0;2;0.6666666666666666;3.3333333333333335;2.0;Spinal and heart area to see if they are fogged out;How bright the part of the xray showing the heart is;;0;0.8333333333333334;0.5;0.5;0.8333333333333334;5.083333333333333;4.75;5.75;63.42583333333334;1348.06;Y;;;;;;;;;Y;;;;;;4.0;7.0;1.0;5.75;6.25;2.0;;;Y;;;
204;508432789;49.0;2.0;2;0.8333333333333334;2.5;2.0;"The amount of ""fuzziness"" in the image - so basically the amount of white in the lungs.";"The amount of ""dark"" clearness in the lungs.";Just using the counterimage does not seem enough information to me. Surely you could always create a counter-counter-image for some of the options  (the slightly fuzzy ones) where one is totally clear, and the other is totally fuzzy. This means that neither is useful to aid in decision making.;0;0.9166666666666666;0.5833333333333334;0.8333333333333334;0.8333333333333334;3.5;3.6;3.0;62.640833333333326;1441.6;Y;Y;;;;;;;;Y;;;;;;4.0;1.0;1.0;3.75;4.0;2.0;Y;Y;Y;Y;;
206;1584986443;45.0;2.0;2;1.0;4.166666666666667;4.0;I think that it pays attention to how clear the lungs look and if there are cloudy areas in the lungs, it pays attention to exactly where on the lungs it is cloudy.;I think that it looks for specific areas on the lungs to be clear to determine if the lungs are healthy or not.;This was very interesting to me. I very much enjoyed this.;0;1.0;0.5;1.0;1.0;6.666666666666667;6.666666666666667;NaN;50.19166666666666;1672.79;;Y;Y;;;;;;;Y;Y;;;;;5.0;10.0;1.0;6.5;6.0;5.0;Y;;Y;;;
208;2129479255;39.0;1.0;2;0.8333333333333334;3.8333333333333335;4.0;"
Alveolls";"
Alveolls";;0;1.0;0.6666666666666666;0.6666666666666666;1.0;6.166666666666667;6.2;6.0;23.167500000000004;535.69;;Y;;;;;;;;Y;;;;;;5.0;8.0;1.6666666666666667;3.25;3.0;4.0;Y;;;;;
211;1019993383;52.0;2.0;2;0.9166666666666666;2.5;2.0;If the x-ray is less clear when the slider is right.;If the x-ray is clearer when slider is left.;;0;0.8333333333333334;0.75;0.8333333333333334;1.0;4.916666666666667;5.090909090909091;3.0;61.08166666666667;1387.3;;Y;;;;;;;;;Y;;;;;4.0;8.0;1.0;4.0;5.75;3.0;Y;;;;;
213;1225074446;52.0;1.0;2;0.9166666666666666;5.0;5.0;Cloudiness in the lungs, characterized by dense white tendrils or blotches. The more opaque the image the more likely the presence of pneumonia.;Clarity in the image of the lungs. If there is little or no opaqueness, then pneumonia is probably not present.;;0;1.0;0.4166666666666667;1.0;0.8333333333333334;6.083333333333333;6.181818181818182;5.0;84.22333333333334;1938.14;Y;;;;;;;;;Y;;;;;;4.0;9.0;1.0;2.0;3.75;5.0;Y;Y;Y;Y;Y;
219;1933217702;45.0;1.0;2;1.0;3.3333333333333335;4.0;It is looking for lighter patches within the areas it thinks are the lungs, and comparing the patterns it 'sees' to previously categorized examples.;It is looking for larger dark areas in the area of the lungs and comparing what it 'sees' to previously classified examples.;;0;1.0;0.5;1.0;1.0;5.916666666666667;5.916666666666667;NaN;112.73083333333331;2193.37;;Y;;;;;;;;Y;Y;Y;Y;;;4.0;7.0;1.0;2.25;4.25;4.0;Y;Y;Y;Y;;
223;998883898;29.0;2.0;2;1.0;4.666666666666667;4.0;The tone of the x-ray, e.g. if it is lighter in colour and mottled.;The colour of the x-ra, e.g. if it is darker in tone or more defined.;No;0;0.9166666666666666;0.4166666666666667;1.0;1.0;5.666666666666667;5.666666666666667;NaN;127.3908333333333;3739.65;;Y;;;;;;;;Y;;;;;I use voice assistant software/alexa and various search engines on a daily basis.;4.0;7.0;1.0;5.25;5.0;4.0;Y;;Y;Y;;
230;666684719;29.0;1.0;2;1.0;3.3333333333333335;2.0;How cloudy the lung sections are. Maybe paying attention to light sections.The parts that do reflect I guess. Where there are growths.;How clear the lung sections are. Maybe paying attention to dark sections. The parts that don't reflect I guess. Where there aren't growths.;;0;0.9166666666666666;0.5833333333333334;1.0;1.0;5.083333333333333;5.083333333333333;NaN;175.39166666666665;2812.79;Y;;;;;;;;;Y;;;;;;2.0;3.0;1.0;2.25;2.0;4.0;Y;;;;Y;
